熱門收視頻道,#genre#
少康戰情室,http://127.0.0.1:5000/index.m3u8?pid=ofiii207&sd=720
國民大會,http://127.0.0.1:5000/index.m3u8?pid=ofiii208&sd=720
綜合,#genre#
台視,http://127.0.0.1:5000/index.m3u8?pid=4gtv-4gtv066&sd=720
中視,http://127.0.0.1:5000/index.m3u8?pid=4gtv-4gtv040&sd=720
華視,http://127.0.0.1:5000/index.m3u8?pid=4gtv-4gtv041&sd=720
好消息2台,http://127.0.0.1:5000/index.m3u8?pid=litv-ftv17&sd=720
好消息,http://127.0.0.1:5000/index.m3u8?pid=litv-ftv16&sd=720
ELTV生活英語台,http://127.0.0.1:5000/index.m3u8?pid=litv-longturn20&sd=720
亞洲旅遊台,http://127.0.0.1:5000/index.m3u8?pid=4gtv-4gtv076&sd=720
中天亞洲精采台,http://127.0.0.1:5000/index.m3u8?pid=ofiii36&sd=720
Smart知識台,http://127.0.0.1:5000/index.m3u8?pid=litv-longturn19&sd=720
東森購物1台,http://127.0.0.1:5000/index.m3u8?pid=4gtv-4gtv102&sd=720
東森購物2台,http://127.0.0.1:5000/index.m3u8?pid=4gtv-4gtv103&sd=720
Focus探索新知台,http://127.0.0.1:5000/index.m3u8?pid=ofiii82&sd=720
鄉民大學問,http://127.0.0.1:5000/index.m3u8?pid=ofiii83&sd=720
社會NOW什麼,http://127.0.0.1:5000/index.m3u8?pid=ofiii85&sd=720
倪珍報星座,http://127.0.0.1:5000/index.m3u8?pid=ofiii86&sd=720
《錦繡安寧》預告花絮,http://127.0.0.1:5000/index.m3u8?pid=ofiii88&sd=720
泰可愛旋風,http://127.0.0.1:5000/index.m3u8?pid=ofiii89&sd=720
演唱會直擊,http://127.0.0.1:5000/index.m3u8?pid=ofiii91&sd=720
健康問良醫,http://127.0.0.1:5000/index.m3u8?pid=ofiii92&sd=720
Freeman @台灣,http://127.0.0.1:5000/index.m3u8?pid=ofiii95&sd=720
饕客揪愛吃,http://127.0.0.1:5000/index.m3u8?pid=ofiii96&sd=720
人氣動漫預告,http://127.0.0.1:5000/index.m3u8?pid=ofiii97&sd=720
銀髮聚樂部,http://127.0.0.1:5000/index.m3u8?pid=ofiii99&sd=720
生命的贏家,http://127.0.0.1:5000/index.m3u8?pid=ofiii192&sd=720
電動車時代,http://127.0.0.1:5000/index.m3u8?pid=ofiii215&sd=720
SiCAR愛車酷,http://127.0.0.1:5000/index.m3u8?pid=ofiii216&sd=720
狂人日誌,http://127.0.0.1:5000/index.m3u8?pid=ofiii217&sd=720
脖子解說 Mr. Neck,http://127.0.0.1:5000/index.m3u8?pid=ofiii218&sd=720
紓壓雷雨聲,http://127.0.0.1:5000/index.m3u8?pid=ofiii250&sd=720
療癒下雨聲,http://127.0.0.1:5000/index.m3u8?pid=ofiii251&sd=720
放鬆的爵士午後,http://127.0.0.1:5000/index.m3u8?pid=ofiii252&sd=720
野外燒柴火聲,http://127.0.0.1:5000/index.m3u8?pid=ofiii253&sd=720
夏日陽光海浪聲,http://127.0.0.1:5000/index.m3u8?pid=ofiii254&sd=720
電影,#genre#
哆啦Ａ夢台,http://127.0.0.1:5000/index.m3u8?pid=ofiii22&sd=720
龍華經典台,http://127.0.0.1:5000/index.m3u8?pid=litv-longturn21&sd=720
Golden 強片台,http://127.0.0.1:5000/index.m3u8?pid=ofiii70&sd=720
龍華電影台,http://127.0.0.1:5000/index.m3u8?pid=litv-longturn03&sd=720
周星馳台,http://127.0.0.1:5000/index.m3u8?pid=ofiii73&sd=720
歐飛電影台,http://127.0.0.1:5000/index.m3u8?pid=ofiii74&sd=720
歐飛喜劇電影台,http://127.0.0.1:5000/index.m3u8?pid=ofiii75&sd=720
戲劇,#genre#
公視金獎台,http://127.0.0.1:5000/index.m3u8?pid=ofiii13&sd=720
經典劇場,http://127.0.0.1:5000/index.m3u8?pid=ofiii38&sd=720
龍華戲劇台,http://127.0.0.1:5000/index.m3u8?pid=litv-longturn18&sd=720
台灣戲劇台,http://127.0.0.1:5000/index.m3u8?pid=litv-longturn22&sd=720
龍華偶像台,http://127.0.0.1:5000/index.m3u8?pid=litv-longturn12&sd=720
龍華日韓台,http://127.0.0.1:5000/index.m3u8?pid=litv-longturn11&sd=720
Focus風采戲劇台,http://127.0.0.1:5000/index.m3u8?pid=ofiii1048&sd=720
錦繡安寧,http://127.0.0.1:5000/index.m3u8?pid=ofiii100&sd=720
琅琊榜,http://127.0.0.1:5000/index.m3u8?pid=ofiii101&sd=720
扶搖,http://127.0.0.1:5000/index.m3u8?pid=ofiii102&sd=720
三國,http://127.0.0.1:5000/index.m3u8?pid=ofiii103&sd=720
武媚娘傳奇,http://127.0.0.1:5000/index.m3u8?pid=ofiii104&sd=720
長樂曲,http://127.0.0.1:5000/index.m3u8?pid=ofiii105&sd=720
軍師聯盟,http://127.0.0.1:5000/index.m3u8?pid=ofiii106&sd=720
軍師聯盟2 虎嘯龍吟,http://127.0.0.1:5000/index.m3u8?pid=ofiii107&sd=720
東宮(完整版),http://127.0.0.1:5000/index.m3u8?pid=ofiii108&sd=720
錦衣之下,http://127.0.0.1:5000/index.m3u8?pid=ofiii109&sd=720
楚喬傳,http://127.0.0.1:5000/index.m3u8?pid=ofiii110&sd=720
倚天屠龍記 2019,http://127.0.0.1:5000/index.m3u8?pid=ofiii111&sd=720
披荊斬棘的大小姐,http://127.0.0.1:5000/index.m3u8?pid=ofiii112&sd=720
步步驚心,http://127.0.0.1:5000/index.m3u8?pid=ofiii113&sd=720
漠風吟,http://127.0.0.1:5000/index.m3u8?pid=ofiii114&sd=720
私藏浪漫,http://127.0.0.1:5000/index.m3u8?pid=ofiii115&sd=720
去有風的地方,http://127.0.0.1:5000/index.m3u8?pid=ofiii116&sd=720
以愛為營,http://127.0.0.1:5000/index.m3u8?pid=ofiii117&sd=720
向風而行,http://127.0.0.1:5000/index.m3u8?pid=ofiii118&sd=720
以家人之名,http://127.0.0.1:5000/index.m3u8?pid=ofiii119&sd=720
獵狐,http://127.0.0.1:5000/index.m3u8?pid=ofiii120&sd=720
請叫我總監,http://127.0.0.1:5000/index.m3u8?pid=ofiii122&sd=720
司藤,http://127.0.0.1:5000/index.m3u8?pid=ofiii123&sd=720
他們的奇妙時光,http://127.0.0.1:5000/index.m3u8?pid=ofiii124&sd=720
白雪公主非死不可,http://127.0.0.1:5000/index.m3u8?pid=ofiii146&sd=720
好搭檔,http://127.0.0.1:5000/index.m3u8?pid=ofiii147&sd=720
頭腦共助,http://127.0.0.1:5000/index.m3u8?pid=ofiii148&sd=720
凌晨兩點的灰姑娘,http://127.0.0.1:5000/index.m3u8?pid=ofiii149&sd=720
台灣靈異事件,http://127.0.0.1:5000/index.m3u8?pid=ofiii150&sd=720
包青天 1993版,http://127.0.0.1:5000/index.m3u8?pid=ofiii151&sd=720
我的婆婆怎麼那麼可愛,http://127.0.0.1:5000/index.m3u8?pid=ofiii152&sd=720
村裡來了個暴走女外科,http://127.0.0.1:5000/index.m3u8?pid=ofiii153&sd=720
一把青,http://127.0.0.1:5000/index.m3u8?pid=ofiii154&sd=720
茶金,http://127.0.0.1:5000/index.m3u8?pid=ofiii155&sd=720
苦力,http://127.0.0.1:5000/index.m3u8?pid=ofiii156&sd=720
俗女養成記,http://127.0.0.1:5000/index.m3u8?pid=ofiii157&sd=720
麻醉風暴,http://127.0.0.1:5000/index.m3u8?pid=ofiii158&sd=720
綜藝,#genre#
TVBS食尚玩家,http://127.0.0.1:5000/index.m3u8?pid=ofiii31&sd=720
東森娛樂台,http://127.0.0.1:5000/index.m3u8?pid=ofiii32&sd=720
鄉民大學問,http://127.0.0.1:5000/index.m3u8?pid=ofiii83&sd=720
野球名人房,http://127.0.0.1:5000/index.m3u8?pid=ofiii84&sd=720
社會NOW什麼,http://127.0.0.1:5000/index.m3u8?pid=ofiii85&sd=720
倪珍報星座,http://127.0.0.1:5000/index.m3u8?pid=ofiii86&sd=720
豬哥壹級棒,http://127.0.0.1:5000/index.m3u8?pid=ofiii126&sd=720
小明星大跟班,http://127.0.0.1:5000/index.m3u8?pid=ofiii127&sd=720
WTO姐妹會,http://127.0.0.1:5000/index.m3u8?pid=ofiii129&sd=720
綜藝玩很大,http://127.0.0.1:5000/index.m3u8?pid=ofiii130&sd=720
全民星攻略,http://127.0.0.1:5000/index.m3u8?pid=ofiii131&sd=720
台灣啟示錄,http://127.0.0.1:5000/index.m3u8?pid=ofiii133&sd=720
法眼黑與白,http://127.0.0.1:5000/index.m3u8?pid=ofiii134&sd=720
天才衝衝衝,http://127.0.0.1:5000/index.m3u8?pid=ofiii135&sd=720
女人我最大,http://127.0.0.1:5000/index.m3u8?pid=ofiii137&sd=720
一字千金,http://127.0.0.1:5000/index.m3u8?pid=ofiii142&sd=720
11點熱吵店,http://127.0.0.1:5000/index.m3u8?pid=ofiii143&sd=720
食尚玩家-Hello腹餓代,http://127.0.0.1:5000/index.m3u8?pid=ofiii225&sd=720
食尚玩家-天菜就醬吃,http://127.0.0.1:5000/index.m3u8?pid=ofiii226&sd=720
食尚玩家-2天1夜go,http://127.0.0.1:5000/index.m3u8?pid=ofiii227&sd=720
食尚玩家-熱血48小時,http://127.0.0.1:5000/index.m3u8?pid=ofiii228&sd=720
食尚玩家-魚肉鄉民,http://127.0.0.1:5000/index.m3u8?pid=ofiii229&sd=720
食尚玩家-瘋狂總部,http://127.0.0.1:5000/index.m3u8?pid=ofiii230&sd=720
非凡大探索,http://127.0.0.1:5000/index.m3u8?pid=ofiii234&sd=720
台灣1001個故事,http://127.0.0.1:5000/index.m3u8?pid=ofiii235&sd=720
詹姆士出走料理,http://127.0.0.1:5000/index.m3u8?pid=ofiii236&sd=720
進擊的台灣,http://127.0.0.1:5000/index.m3u8?pid=ofiii237&sd=720
世界第一等,http://127.0.0.1:5000/index.m3u8?pid=ofiii238&sd=720
台灣第一等,http://127.0.0.1:5000/index.m3u8?pid=ofiii239&sd=720
溢遊未盡,http://127.0.0.1:5000/index.m3u8?pid=ofiii240&sd=720
卡通‧兒童,#genre#
ELTV生活英語台,http://127.0.0.1:5000/index.m3u8?pid=litv-longturn20&sd=720
龍華卡通台,http://127.0.0.1:5000/index.m3u8?pid=litv-longturn01&sd=720
哆啦Ａ夢台,http://127.0.0.1:5000/index.m3u8?pid=ofiii22&sd=720
新哆啦A夢(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii23&sd=720
動漫,#genre#
新哆啦A夢(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii23&sd=720
雖然等級只有1級但固有技能是最強的,http://127.0.0.1:5000/index.m3u8?pid=ofiii159&sd=720
擁有超常技能的異世界流浪美食家,http://127.0.0.1:5000/index.m3u8?pid=ofiii160&sd=720
WIND BREAKER—防風少年—,http://127.0.0.1:5000/index.m3u8?pid=ofiii161&sd=720
在異世界獲得超強能力的我，在現實世界照樣無敵～等級提升改變人生命運～,http://127.0.0.1:5000/index.m3u8?pid=ofiii162&sd=720
第一神拳,http://127.0.0.1:5000/index.m3u8?pid=ofiii163&sd=720
刀劍神域(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii164&sd=720
蠟筆小新(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii165&sd=720
我們這一家,http://127.0.0.1:5000/index.m3u8?pid=ofiii166&sd=720
獵人(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii167&sd=720
中華一番(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii168&sd=720
隊長小翼(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii169&sd=720
SPY X FAMILY 間諜家家酒,http://127.0.0.1:5000/index.m3u8?pid=ofiii170&sd=720
SPY X FAMILY 間諜家家酒(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii171&sd=720
無職轉生，到了異世界就拿出真本事,http://127.0.0.1:5000/index.m3u8?pid=ofiii172&sd=720
關於我轉生變成史萊姆這檔事(國),http://127.0.0.1:5000/index.m3u8?pid=ofiii173&sd=720
夏目友人帳,http://127.0.0.1:5000/index.m3u8?pid=ofiii174&sd=720
家庭教師HITMAN REBORN!(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii175&sd=720
烘焙王(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii176&sd=720
鋼之鍊金術師,http://127.0.0.1:5000/index.m3u8?pid=ofiii177&sd=720
JOJO 的奇妙冒險,http://127.0.0.1:5000/index.m3u8?pid=ofiii178&sd=720
葬送的芙莉蓮,http://127.0.0.1:5000/index.m3u8?pid=ofiii179&sd=720
史上最強弟子兼一(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii180&sd=720
爆漫王(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii181&sd=720
忍者亂太郎(中文版),http://127.0.0.1:5000/index.m3u8?pid=ofiii182&sd=720
删除缓存,#genre#
删除缓存,http://127.0.0.1:5000/clear_all_cache
